,tweet_id,text,location,raw_prediction,WER,prediction
19894,ID_1064234284842721280,"The remains of five more people were found Saturday, including four in the decimated town of Paradise and one in nearby Concow, bringing the number of dead to 76.",Concow Paradise,Con ##co ##w,0.5,Concow
19904,ID_1064236397433888768,World War II veteran adopted by California couple after wildfires displace him  #FoxNews There is still good in this world after all.,California,California,0.0,California
19905,ID_1064236436856205312,Red Cross volunteers are supporting evacuation centers in #California to provide safe refuge for people impacted by the devastating wildfires. Support the @RedCross with a $10 donation by texting CAWILDFIRES to 90999,California,California,0.0,California
19916,ID_1064237411528523776,"California Wildfires Update: Citi is committed to helping our customers and their communities get back on their feet, by donating to disaster relief efforts. If you’d like to help, visit @RedCross  or donate with ThankYou® points",California,California,0.0,California
19918,ID_1064237956993552384,@LunaLuvgood2017 @lackland50 Get worse. This is official the worst ever #wildfire in #california history and it may be over for #donaldtrump but it is not over. We all most help in any way we can. Contribute direct to #Paradise banks. All monies go to the #victims,california,ca ##li ##fo ##rn ##ia,0.0,california
19937,ID_1064247708477779968,A Missouri women named Heather Bell is headed to California to help people recover from the wildfires. She’s stopping along the way and asking people to donate goods as she makes her way to California. @KOMUnews,California Missouri,Missouri California California,0.0,California Missouri
19942,ID_1064248785914732544,"Grab one of these and HELP victims of California Fires! ✅Get them here -  ὄ8 They REALLY need our help! Today they need our help, tomorrow it might be you! Ἑ8100% of profits go to Victims! #CaliforniaFires #California #Firefighters #FBRParty #FBR",California,California California,0.0,California
19945,ID_1064249316187881472,"The Camp Fire is the deadliest in California’s history, claiming over 70 lives. Thousands of homes have been destroyed. More than 1,000 people are still missing. And the fire continues. Now’s the time to come together. Find out how you can help here:",California,California,0.0,California
19946,ID_1064249397846790144,I live here. I know how to help. Stop wasting money on illegals and bullet trains and spend more money on firefighters. It’s not complicated.,,,1.0, 
19950,ID_1064255950956187648,"Eight days into the search, the death toll is 76 and rising. Hundreds remain missing; some 50,000 residents are displaced, scattered to relatives’ spare rooms, motels and a Walmart parking lot",,,1.0, 
19963,ID_1064258227813142528,"This is a thread of injured and misplaced animals from the California fires, please RT to help them find their owners. These animals are being treated at the San Francisco SPCA (☎️: 415-554-3030) *TW: injured animals*",California San Francisco,California San Francisco,0.6666666666666666,California Francisco San
19976,ID_1064259348451467264,"Silicon Valley, is this an opportunity to pack trucks with tents, blankets, sleeping bags, pillows, food for suffering families, to show your children how to care for others?",Silicon Valley,Silicon Valley,0.0,Silicon Valley
19977,ID_1064259514344660992,"To all #GoodSamaritans who have requested how to contribute to the #CaliforniaFires relief effort from far away, here is a reliable list of organizations: ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7#SoCalFiresJamesWoods #CampFireJamesWoods",,,1.0, 
19978,ID_1064259846395056128,@dollyrayh @realDonaldTrump Troops are quite capable of many things and equipped to do so. Including fighting forest fires. There are many engineers at the border that would be better served in California.,California,California,0.0,California
19984,ID_1064267984515018752,‘The Dog Whisperer Cesar Milan opens up home to livestock rescued from California wildfires,California,California,0.0,California
19994,ID_1064269557525872640,God bless the firefighters and rescue personnel for everything they have done especially for the voiceless ones.,,,1.0, 
20000,ID_1064270147077033984,"California is a horrible mess right now with citizens struggling due to the fires. I know, because I am one of them. No home. Not clothes. No necessary items. No meds. Doctors overwhelmed by the displaced. All help needs to go to those like me that need assistance. NOT ILLEGALS!",California,California,0.0,California
20006,ID_1064272535125204992,RT @NayiTVUS: Watch California is still fighting fire as death toll exceeds 70 at Nayi TV USA - Visit:,California USA,California USA,0.0,California USA
20009,ID_1064282337444331520,WE NEED YOUR HELP @GirlsvsGhosts Director of Scheduling @Fayeray34 & her family has lost everything. Please find it in your heart to #SHARE # #RT. By #payitforward you would be providing Them the much needed assistance that they need!,,,1.0, 
20015,ID_1064282961477025792,The Camp Fire evacuees need our help. Please consider checking out this list with various ways to help your fellow neighbors:,,,1.0, 
20021,ID_1064284484734988288,NYTs from 10 months ago dead trees could produce wildfires on a scale and of an intensity that California has never seen..@whitehouse @POTUS,California,California,0.0,California
20025,ID_1064284978295578624,You can truly Help the victims of the California Fires! : ) Please. Pass. Along. #FEMA #CaliforniaFires #CaliforniaWildfires ☆☆♡☆☆♡☆☆☆♡☆☆♡☆☆,California,California,0.0,California
20052,ID_1064302956344819712,"Definitely not too late. There is a need now and for some time to come. But the sooner everyone donates, the better planning will be in place and the sooner victims will get assistance. Please donate today! #CampFire",,,1.0, 
20058,ID_1064303648082141184,"Volunteers sift through ash and debris, searching for the remains of victims of the devastating Northern California wildfire before expected rains complicate their efforts.",California,California,0.0,California
20069,ID_1064305932094574592,Death Toll in California Fires = 63 Death Toll by Central American Immigrants at the Border = 0,California,California,0.0,California
20079,ID_1064315981365862400,"The wait for Paradise: From young to old, evacuees displaced by the #campfire endure another restless & cold night in their cars, container trucks & tents, at the Walmart parking lot in Chico, Calif.",Calif. Chico,Chico Cal,0.5,Cal Chico
20085,ID_1064316693332271104,"RT @japantimes: 1,300 still on missing list as searchers in California wildfires step up efforts to find victims ahead of rain",California,California,0.0,California
20088,ID_1064316875469815808,RT @pitchfork: Alice Coltrane’s ashram was destroyed in the Woolsey Fire,,,1.0, 
20104,ID_1064327655800086528,"California’s Wildfire & Climate Change Warnings Are Still Too Conservative, Scientist Says #auspol #qldpol #ExtinctionRebellion #ClimateStrike #StopAdani",California,California,0.0,California
20113,ID_1064329018235936768,"California wildfires: -76 people dead -Searchers step up efforts to find victims -Nearly 1,300 unaccounted for more than a week after fire began in Butte County",Butte County California,California But ##te County,0.0,Butte County California
20157,ID_1064356798172446720,"Camp fire UPDATE Sunday PM: The death toll reached 76, while 1,276 people remain unaccounted for. The blaze is 60% contained and has consumed more than 149,500 acres.",,,1.0, 
20160,ID_1064358606009745408,"Please #donate to #animalrescue #Californiafores #CampFires. Pets, farm animals & wildlife are suffering terribly. Info on how and where here:",,,1.0, 
20161,ID_1064359285155610624,"The Camp Fire Public Safety Family Relief Fund is now open at . The fund is designated to provide direct financial assistance to public safety employees in Butte County who, with their families, have been displaced by the Camp Fire.",Butte County,But ##te County,0.0,Butte County
20162,ID_1064359301068849152,"The Cal Water & Utility Workers Union of America Camp Fire Relief Fund is now open at . The fund is to support organizations assisting families who lost their homes in the Camp Fire, including those that can assist affected Cal Wa",Cal,Cal W,0.0,Cal
20167,ID_1064367078138830848,BBC News - California wildfires: Why are so many listed as missing?,California,California,0.0,California
20172,ID_1064369658021724160,"71 people are confirmed dead and 1,000 still missing from the #CaliforniaFires. The Center for International Disaster Information says that sending money is the best way to help right now. Please donate anything that you can to one of these organizations:",,,1.0, 
20175,ID_1064371410578083840,Saw this alert in time to update our story just nowthe death toll is now at 77 in the horrific Northern #California #CampFire. Its difficult for us to truly appreciate the scale of this disaster. The stories of heroism and heartache are incredible,California,California,0.0,California
20185,ID_1064379156488540160,"Therere fire survivors & children tonight thru no fault of their own shivering, w/o comforts, MED care or loved ones (some dead, others missing or separated), homeless with sick in crowded shelters, cars, flimsy tents or cages, vulnerable, little hopeSend help/ release caged!",,,1.0, 
20189,ID_1064379958905102336,"AVAILABLE FOR #CampFire EVACUEES: HORSE SUPPLIES (HAY, GRAIN, PELLETS, HALTERS, TACK, HORSE BLANKETS), MEDICAL SUPPLIES, SUPPLEMENTS, DOG AND CAT FOOD & SUPPLIES. PHONE: 1-530-635-0812 ADDRESS: 44 2ND STREET, #YubaCity, #California #Chico #ChicoCA #Oroville #CaliforniaFires",44 2ND STREET California Chico Oroville YubaCity,##IN,1.0,IN
20194,ID_1064381101710475264,"You may have heard of the devastating wild fire going on in Northern California. Paradise has been hit hard where we have had over 26,000 evacuees more than a quarter of them are Veterans. I am the commander of the Disabled American Veterans Chapter 106 we need help. contact me.",California,California,0.0,California
20201,ID_1064387666026864640,"RT @AP: BREAKING: Northern California sheriff says about 1,000 names remain on list of unaccounted for after deadly wildfire; 77 are dead",California,California,0.0,California
20206,ID_1064388483618287616,Thread. Its about wildfires in California. Content warnings absolutely necessary for this topic.,California,California,0.0,California
20217,ID_1064390235793104896,RT @rebelbabe61: PLEASE HELP OUR AMERICAN FIRE VICTIMS IMMEDIATELY @fema @realDonaldTrump @JerryBrownGov,,,1.0, 
20223,ID_1064396847286894592,"If you want to help the fire victims from Butte County in #California, here are donation links and information. It’s going to take a lot to get people back on their feet and in housing #CampFire",Butte County California,But ##te County California,0.0,Butte County California
20224,ID_1064396892929441792,@realDonaldTrump Arent you the same person who called it Pleasure California twice while in Paradise California visiting where the wildfires have killed over 70 people?,California,California California,0.0,California
20227,ID_1064397773947121664,#Wildfire Update: More than 34K meals and snacks and over 14K relief items have been distributed so far to impacted people in #California. Health and spiritual care professionals are also on hand supporting evacuees.,California,California,0.0,California
20233,ID_1064399673807400960,RT @janattheocean: LISTEN UP THEY NEED OUR HELP,,,1.0, 
20243,ID_1064410637780967424,"you can donate and help people out here  follow @ChicoER for updates if you need them. send them pizza, coffee, whatever",,,1.0, 
20249,ID_1064412281763586048,"Can’t stop worrying about my friends and people suffering in CA. There are a few ways to help: North Valley Community Foundation, California Community Foundation’s Wildfire Relief Fund, United Way of Northern California, North Valley Animal Disaster Group❤️",CA California North Valley Community Foundation Northern California,CA North Valley Community Foundation California Community Foundation California,0.5,CA California Community Foundation North Valley
20260,ID_1064422145365868544,#DEATH #TOLL IN #WILDFIRE IN #NORTHERN #CALIFORNIA IN #US #CLIMBER TO 76,CALIFORNIA US,CA ##L ##IF ##OR ##NI ##A,0.5,CALIFORNIA
20261,ID_1064422235077656576,RT @VABVOX: Here are resources for #CaliforniaFire victims and the best ways to contribute,,,1.0, 
20275,ID_1064431204206870528,"Searchers combing through areas affected by the California wildfires have rescued hundreds of animals -- including dogs, cats, horses, donkeys, ducks, and a tortoise",California,California,0.0,California
20286,ID_1064435547542831104,RT @humanityfirstuk: In #California team of volunteers working with @HFUSA are helping victims of the #wildfires,California,California,0.0,California
20289,ID_1064438620583542784,"The Woolsey, Hill, and Camp Fires are some of the most — if not the most — destructive and deadly fires in California history. Here’s everything to know about those impacted and how you can help",California,California,0.0,California
20293,ID_1064442973633634304,Camp Fire death toll increases to 77; Survivors living in tents being moved to safer shelter,,,1.0, 
20303,ID_1064448196003459072,"The so-called Camp Fire swept through the rural town of Paradise on Nov. 8. It has destroyed more than 10,500 homes.",Paradise,,1.0, 
20309,ID_1064452425296179200,@realDonaldTrump Please get hotels rooms for the fire victims in california evacuation centers can only be temp and they have already been at them or in tents for days #CampFire,california,ca ##li ##fo ##rn ##ia,0.0,california
20313,ID_1064453935476367360,"Death Toll in Northern California Wildfire Hits 76 With Nearly 1,300 Missing.",California,California,0.0,California
20325,ID_1064462402287214592,"The California #CampFire has destroyed more than 10,500 homes. More than 1,000 people are still unaccounted for. And rain is in the midweek forecast, which could complicate searches.",California,California,0.0,California
20345,ID_1064474927150104576,California fires: Bus driver from heaven Kevin McKay rescued young children - CNN #SmartNews,California,California,0.0,California
20354,ID_1064477893747720192,@realDonaldTrump Try being civil towards an elected CA member of congressHere’s a better use of social media. Donate to the Red Cross while you’re at it. Here are resources for California fire victims and the best ways to contribute,CA California,CA California,0.0,CA California
20357,ID_1064478703349055488,"The devastating Northern California wildfire has killed at least 77 people, making it the deadliest U.S. wildfire in a century.",California U.S.,California U . S .,0.0,California U.S.
20367,ID_1064480526596218880,RT @Reuters: Some California wildfire victims may never be found: searcher,California,California,0.0,California
20389,ID_1064494140786962432,"RT @katalin_pota: Nearly 1,000 still missing in California wildfires - ABC News",California,California,0.0,California
20406,ID_1064508961007783936,"California wildfires: Death toll at least 80, nearly 1,000 unaccounted for  via @TODAYshow",California,California,0.0,California
20408,ID_1064511541859495936,"California fires have left toxic wasteland with 80 dead, nearly 1,300 missing",California,California,0.0,California
20411,ID_1064516938922147840,"#California: number of #missing from wildfires still rising, @bbc reports. #TheMissing #truth",California,California,0.0,California
20414,ID_1064517751912521728,"@DavidKelsey3 @Alyssa_Milano Im willing to bet Georgia sent some firefighters to California recently, like many other states. I know those fires have encroached on the homes of many stars. Seems like she might think before spewing crap like that.",California Georgia,Georgia California,0.0,California Georgia
20419,ID_1064524966987739136,"Death toll from #California wildfires rises to 77 and the number of #MissingPersons rises to around 1,000. #disappeared #justice @bbc",California,California,0.0,California
20422,ID_1064527980033175552,"It’s been more than 10 days since devastating wildfires started spreading across California. At least 80 people have been confirmed dead and 1,000 more are still missing.",California,California,0.0,California
20427,ID_1064529294590963712,"RT @dailykos: California wildfires update: At least 80 dead, 993 missing",California,California,0.0,California
20444,ID_1064542114061656064,Our hearts are w/the entire community of Paradise & surrounding areas affected by the Camp Fire. Please consider a tax-deductible donation to the Camp Fire Relief Fund to assist the many community organizations serving evacuees & first responders. @NVCF,,,1.0, 
20454,ID_1064546534795223040,"#CaliforniaWildfires Death Toll Expected to Rise Drastically as More Than 1,000 People Missing Not mentioned: Idiot in Chief blames the wildfires on failure of Californians to rake the leaves.",,,1.0, 
20456,ID_1064553185883430912,"RT @tammytabby: California fires - 80 dead & 1,000 still missing.",California,California,0.0,California
20470,ID_1064556929635282944,"Air quality continues to decline due to smoke from wildfires in the Sacramento and San Francisco areas, forcing school closures. Close to 1,000 people remain unaccounted for in the fires in the northern and southern parts of California.",California Sacramento San Francisco,Sacramento San Francisco California,0.5,California Francisco Sacramento San
20474,ID_1064557722803339264,RT @todayng: Victims mourned as toll hits 77 in California wildfire,California,California,0.0,California
20481,ID_1064564951396900864,A phenomenal article by @nytimes with incredible graphics about the California wildfire thats left 76 people and more than a thousand still missing.,California,California,0.0,California
20483,ID_1064568732503195648,Alley Cat Allies is on the ground providing supplies and support to groups rescuing and caring for cats and other animals displaced by the California wildfires. Your donation can help make a difference as we continue the fight.  #CampFire,California,California,0.0,California
20492,ID_1064569512584867840,Donate Today! Fellow Americans devastated by the Fires in California need your Support & Help! #CaliforniaFires #Unite #Contribute  Let’s Make a Difference Together! Help this unborn baby & family today. #GodFamilyCountry. @RealErinCruz @TeamErinCruz,California,California,0.0,California
20493,ID_1064569703123714048,"DISASTER RECOVERY CENTER: Camp Fire Disaster Recovery Center (formerly Local Assistance Center) is located at the Chico Mall (former Sears Building) -1982 E. 20th Street, Chico, CA 95928. The Center will be open daily from 9:00 a.m. to 7:00 p.m.",,,1.0, 
20506,ID_1064582832750772224,"Please consider reviewing Samanage through @G2Crowd to support a great cause. Each review is worth $10 for the @Habitat_org California wildfire relief effort. Follow the link, click write a review,” and search for Samanage:",California,California,0.0,California
20517,ID_1064591673500422144,"THE LEAD: Death toll rises in California fires, Mexican city residents protest migrant caravan, Gov. Jay Inslee’s out-of-state trips strain budget and WSU football moves up to No. 7 in latest AP poll, barely behind Oklahoma",California Mexican Oklahoma,California Mexican Oklahoma,0.0,California Mexican Oklahoma
20521,ID_1064597799411556352,They still need help in California!!,California,California,0.0,California
20540,ID_1064609814997860352,Our hearts go out to those affected by the CA fires. Please consider a donation to the CA Community Foundations Wildfire Relief Fund (@calfund):  More info on nonprofits seeking donations:,CA,CA CA,0.0,CA
20543,ID_1064610778106347520,Rain may hamper search for California wildfire victims: Reuters  | More w/ Eco-Search:,California,California,0.0,California
20561,ID_1064620290343350272,I’m thinking someone may need a puff of Medical Marijuana called: Ornamental Pruning Skills ᾓ7‍♀️,,,1.0, 
20572,ID_1064628975539011584,"RT @SecretaryZinke: Some of the devastation in Paradise, CA. The Camp Fire destroyed the town. I’m told this isn’t even the worst of it. ht",Paradise,CA,1.0,CA
20575,ID_1064629446668374016,The @ASPCA is on the ground in California helping to rescue the animals affected by the California fires. Please support their life-saving work!! These precious animals need you ὤFἿDYou can go to  Any donation is deeply appreciated. Thank you so much friends,California,California California,0.0,California
20580,ID_1064631129490128896,Welcome home @slcfire crews. #UtahsCapitalCityFire sent 9 firefighters to assist with the wildfires in California. Were glad they made it safely home in time to spent Thanksgiving with their families,California,California,0.0,California
20585,ID_1064632122374307840,New: The Search Continues For The Hundreds Who Are Missing After California Wildfires,California,California,0.0,California
20598,ID_1064639587551719424,"Destinee & Paul Klyne traveled from British Columbia to #California for a getaway.When the cottage they had rented burned down in the midst of the wild fires,the couple realized they were there for a purpose.They have been traveling between Sacramento and Chico to aid the victims",California Sacramento,Columbia California Sacramento,0.5,California Columbia Sacramento
20609,ID_1064642014665482240,RT @ABC: HAPPENING NOW: @ABC News has the latest on the California wildfires,California,California,0.0,California
20611,ID_1064642115643142144,New developments in the California wildfires as weather patterns change:,California,California,0.0,California
20620,ID_1064649630565236736,RT @JJTaylorFL: Sierra Nevada Brewing to Brew Resilience IPA for Camp Fire Relief  via @brewbound,Sierra Nevada,Sierra Nevada,1.0,Nevada Sierra
20622,ID_1064650229641809920,"RT @alex_faust: First the Hawks, now the Blues. Proceeds from 50/50 going to wildfire relief:",,,1.0, 
20623,ID_1064650505509515264,"If you have evacuated from an area impacted by the California Wildfires, please register on Red Cross safe and well website. Our reunification team is working with officials to locate people reported missing. Go to  to list yourself as safe and well.",California,California,0.0,California
20628,ID_1064651400783683584,"Please go support this cause. Many people are homeless, hungry and need your help.",,,1.0, 
20632,ID_1064652065576820736,A McDonald’s. A gas station. Thousands of homes. Photos taken before and after the Camp fire reveal a town destroyed:,,,1.0, 
20633,ID_1064652656650514432,@KamalaHarris How much have you donated to Camp Fire victims fund?,,,1.0, 
20635,ID_1064653278883934208,"To make the housing crisis worse in California, the recent fires have destroyed 6,522 residences and 260 commercial structures. Estimated rebuild costs are in excess of $18 Billion. If you want to learn more, check out this article!",California,California,0.0,California
20646,ID_1064659382607110144,"Most local governments dealing with California’s deadly wildfires won’t see their credit ratings downgraded, according to a weekly Moody’s Investors Service report:  @MoodysInvSvc h/t @DaveNyczepir #CACounties #CAFire #creditrating #wildfires",California,California,0.0,California
20652,ID_1064659945281466368,"They drove through hell. Without these educators, the death toll would have been even higher. These communities have been devastated. Please help. Please donate. Link:  #CaliforniaFire #TBATs",,,1.0, 
20654,ID_1064660320453566464,Sierra Nevada asked breweries across the USA to brew a beer for fire relief.and Lancaster answered the call! These 13 Lancaster area breweries will be collaborating on a beer to help Camp Fire relief efforts. #PABeer Details:,Sierra Nevada USA,Sierra USA,0.3333333333333333,Sierra USA
20658,ID_1064661779635163136,17 Ray Morgan Company employees and their families have lost their homes in the Northern California Camp Fire. Donate to the GoFundMe to help these employees:  via @aslawetsky,California,California,0.0,California
20659,ID_1064661812141019136,"@realDonaldTrump Lets be real Americans, California fires destroyed the entire town of Paradise among others, as a result 25,000 people lost their homes & all possessions,this town alone. The list of our concern should not be helping 15,000 illegal thugs invading our Country, help Californians",California,California,0.0,California
20671,ID_1064663375601442816,Customers can support communities impacted by the California wildfires by donating to @RedCross and @FeedingAmerica through Wish Lists and Amazon Pay:,California,California,0.0,California
20683,ID_1064669810032816128,"Interior Secretary Ryan Zinke blamed environmental radicals for the #CaliforniaWildfires that have killed at least 77 people, saying they stop forest management practices that could have prevented the fires. #CaliforniaFires #CampFire",,,1.0, 
20688,ID_1064670404629938176,Another @RedCrossWIS volunteer heads to California to help wildfire victims: I feel I need to go,California,California,0.0,California
20697,ID_1064671296967991296,its our time to help. playing the camp fire benefit concert on 12/3 at the grounds in roseville. all of the money from tickets benefits the salvation armys efforts in the camp fire.,roseville,rose ##ville,0.0,roseville
20703,ID_1064673168294535168,RT @DfwOutreach: California Wildfires Relief Fund 2018,California,California,0.0,California
20722,ID_1064685095712366592,"HAMO has just shipped 18,000 diapers to families who are victims of the Camp Fire. Butte County Community Action will distribute the diapers to the many fire victims who have babies and young children. You can help by giving now:  #DiaperNeed, #CAWildfires",Butte County,But ##te County,0.0,Butte County
20723,ID_1064685345608855552,"FUNDRAISER TIME!!!! Scratch + dent sale! Last time, I raised $1000 for the Humane Society. This time 100% of proceeds go to @YoseConservancy! ❤️ Yosemite National Park was hit by California wildfires earlier this year. Together, we can help preserve it!",California,California,0.0,California
20731,ID_1064691850202628096,The Chico Municipal Airport has acted as an emergency animal shelter since the beginning of the Camp Fire.,The Chico Municipal Airport,The Chico Municipal Airport,0.5,Airport Chico Municipal The
20732,ID_1064692114481655808,.@PattersonNBC on @NBCNightlyNews - Search crews comb through ruins for victims of Northern California wildfire,California,California,0.0,California
20733,ID_1064692382023606272,California to receive ‘dramatic relief from wildfire smoke as Camp Fire survivors seek safer shelter,California,California,0.0,California
20736,ID_1064692518187646976,"If you’re affected by the California wildfires, #IRS is providing tax relief & helpful info.  #CampFire #WoolseyFire",California,California,0.0,California
20742,ID_1064693647126355968,"@JuddLegum @Walmart Another thing about Wal-Mart. What about that Wal-Mart in California giving the fire survivors who now live in tents, a deadline to leave. Shame on them. Never shop there.",California,California,0.0,California
20743,ID_1064694517406883840,Check out @race5333’s Tweet: . This is my brothers evacuation from the #CampFire,,,1.0, 
20744,ID_1064694584511410176,RT @schwarzmodul: Im performing live at @tracknumber California Wildfire Relief Benefit on Dec. 8th. Follow this link for info .,California,California,0.0,California
20751,ID_1064696414419083264,"Nearly 1,000 missing: If you are on the list, please call the Butte County Sheriff’s Missing Person Call Center. Let them know you are safe and there is no need to search for you any longer: 530-538-6570, 530-538-7544 and 530-538-7671. #CampFire",Butte County,But ##te County,0.0,Butte County
20756,ID_1064701666220367872,RT @sidewalkangels: *hero* love her!  Sandra Bullock donates $100K to save animals from wildfires,,,1.0, 
20769,ID_1064704854843711488,"Every time a ref throws a flag tonight (even if it wasn’t intentional) @nflcommish should donate $1,000 to help with the California fires #MNF #KCvsLAR",California,California,0.0,California
20775,ID_1064711222379986944,California fires take personal toll on firefighters  ὤFCalifornia wildfires looks like missle skid marks from west‼️ @laurelsobol @TiredofBS11 @steve23689855 @AmesHill2 @zeusFanHouse @MattKnez1961 @KeniWhited1 @USVICTORY,California,California,0.0,California
20786,ID_1064714633527865344,@CampFamilies .#CampFireEvacueeDonations ὔAFree ἷDThanksgiving dinner for evacuees is being hosted at several locations in ChicoἷD#CampFire #ParadiseStrong #CaliforniaWildfires,,,1.0, 
20799,ID_1064721156580601856,"Almost 7 minutes of what has been destroyed by the #CampFire If you help, please donate to the Red Cross. Thank you @kcranews for this view.",,,1.0, 
20818,ID_1064740650380288000,"Three days until Thanksgiving, and if you want to help victims of the California fires who are not as blessed, please do. Reader discretion is advised for this story:",California,California,0.0,California
20833,ID_1064748951117557760,"I just donated to @HumaneSociety . If you feel like you are able, please consider donating as well. They help animals in need and it’s extremely needed right now with the California wildfires",California,California,0.0,California
20837,ID_1064753548318072832,DNA Samples Needed to Identify Camp Fire Victims,,,1.0, 
20840,ID_1064755134570217472,"RT @sacbee_news: JUST IN: The number of reported dead in Butte County’s #CampFire has increased by two, bringing the total to 79.",Butte County,But ##te County,0.0,Butte County
20849,ID_1064760146096807936,"As people debate the causes of the devastating wildfires in California that have killed 80 people homes, an al-Qaeda propaganda organ calls it Allah’s punishment.”",California,California,0.0,California
20860,ID_1064776392695525376,"Thank you, my dear friend @MissNyetTrump for sharing this info. Below is one way we can all chip in to make the holidays a bit more special for the children affected by the Camp Fire. Just imagine if we each donated one toy. #CaliforniaFires #SeasonofGiving #ActsofKindness",,,1.0, 
20864,ID_1064779715423158272,Thread. Please donate ὄ7,,,1.0, 
20869,ID_1064781848381874176,"Heres an extended look at the damage in Paradise from Livecopter 3, as the smoke cleared enough today for us to get in. We know some people still wonder about their homes as the #CampFire still has evacs. @PMLBob this video is not covered with graphics.",,,1.0, 
20874,ID_1064790116789616640,"More than 15,000 buildings burned in Northern California. Heres what that looks like from above",California,California,0.0,California
20875,ID_1064790877472731136,"Rain will bring much-needed relief to California fires, but also new dangers",California,California,0.0,California
20876,ID_1064791846935760896,RT CallForCode Thank you to our Charitable Partner’s RedCross constant efforts to help those affected by Natural Disasters. Here is a photo of them preparing needs for those who lost their homes in the California Wildfires currently going on. To lea,California,California,0.0,California
20884,ID_1064795245081063424,"Instead of complaining about the smoke affecting classes, donate to the victims of the actual wildfire that has killed hundreds and made hundreds more homeless",,,1.0, 
20892,ID_1064809102138728448,"Relentless California wildfires leave 82 dead, almost 700 unaccounted for - ABC News",California,California,0.0,California
20893,ID_1064810988837384192,Code: California Utility Customers May Be on Hook for Billions in Wildfire Damage  #CaliforniaFires #energy #tech #finance #insurance #consumer #security #policy #journo #law,California,California,0.0,California
20934,ID_1064892279616430080,Canadian Couple helps California Wildfire Victims,California,California,0.0,California
20937,ID_1064892935332876288,How Satellites Are Helping Californias Wildfire Recovery Efforts  #space #stars #planets #astronomynerd #AstronomyPictureOfTheDay #astronomysettolyrics #astronomypicturesdaily #AstronomyLab,Californias,California ##s,0.0,Californias
20956,ID_1064902168275234816,Update! This exists. Spread the word. Airbnb hosts offer free housing to evacuees displaced by California wildfires  via @techcrunch,California,California,0.0,California
20963,ID_1064905869056339968,RT @Ryan_Lillis: ‘The height of character’: Volunteers set aside sorrow and exhaustion to search for #CampFire victims,,,1.0, 
20980,ID_1064916500962791424,"The American Red Cross in California is helping those impacted by the Woolsey, Camp, and Hill wildfires. Donate now:",California The American Red Cross,California,0.8,California
20987,ID_1064921523188723712,"If you are stocking up on beer for your #Thanksgiving meal, (& why arent you) consider these brews that benefit the #campfire victims. @SierraNevada Hundreds of breweries volunteer to brew Camp Fire benefit beer with Sierra Nevada  via @SFGate",Sierra Nevada,Sierra Nevada,1.0,Nevada Sierra
21005,ID_1064925953493749760,Dems called on Ohio Republican Dave Johnson to resign for his remarks about the California wildfires in which dozens have died Johnson said This is god’s Punishment For Liberal California” People are dead. Towns are gone. Livelihoods are destroyed Fuck this guy!,California Ohio,Ohio California California,0.0,California Ohio
21013,ID_1064931594467708928,This is Meta. xkarla will donate a portion of proceeds of the exclusive META tee to the @HumaneSociety to help animals hurt and displaced in the California fires. Shop it now at  @justinbieber #JustinBieber,California,California,0.0,California
21024,ID_1064935771985997824,Welcome home! Thank you to our local firefighters who helped assist crews in California.,California,California,0.0,California
21025,ID_1064935907365699584,We have a song called Malibu 1992. 100% of proceeds for this shirt will go to California wildfire relief.,California,Mali ##bu California,1.0,California Malibu
21028,ID_1064937091451121664,"Starved for answers from authorities, those with family missing still days after #CampFire erupted have become their own investigators. Theyre gathering clues from social media, other families and in-person visits to shelters.",,,1.0, 
21040,ID_1064943249054326784,"Which other Oregon breweries are joining @EclipticBrewing, @BuoyBeer, @RogueAles and @WildRideBrewing in brewing Resilience IPA for the @SierraNevada Camp Fire Relief Fund? Details:  #ButteCountyStrong #CampFire",Oregon,Oregon,0.0,Oregon
21043,ID_1064944086409392128,"#CampFireDonor..Keltie Cole FB Post..I am located in Santa Clarita CA. I have a three horse slant. I am offering my 7 acre private family ranch for victims of the Camp fire. I will personally drive up haul your horses or small livestock to my ranch. I will then cover all feed,",Santa Clarita,Santa C ##lar ##ita CA,1.0,CA Clarita Santa
21044,ID_1064944121847193600,The National Weather Service has issued a flash flood watch for the regions battered by the Camp Fire from Wednesday through Friday.,,,1.0, 
21048,ID_1064945341781422080,U.S. Department of Labor Announces Assistance for California Wildfires Recovery,California,S California,0.0,California
21063,ID_1064948739335311360,Want to help? #MarinCounty,,,1.0, 
21073,ID_1064953818209755136,"The number of buildings destroyed by Southern Californias Woolsey Fire stands at 1,500 as firefighters increased containment of the 97,000-acre fire.",Southern Californias,California ##s,0.5,Californias
21086,ID_1064957255102029824,"saw a post earlier that suggested the rainfall in smoky areas in california will be extremely toxic and this, uh, seems to not be the case at all:",california,ca ##li ##fo ##rn ##ia,0.0,california
21094,ID_1064963185592098816,"OVER 1000 missing people, countless families are HOMELESS! Just think about it for a second and please donate here by buying a cup of coffee or somewhere else! Buy a cup of coffee here ὄ9 Ἑ8100% of the money will go to victims of California Fires!Ἑ8",California,California,0.0,California
