,text,location,raw_prediction,prediction,cleaned_text,WER
1158,#Florence is finally gone but watch out for some lingering effects this today from the record floods yesterday. #cltwx #ncwx #scwx #teamnosleep,Florence,, ,,1.0
1159,"Hello African media. Not Florence Hurricane in the US. Worst floods in decades in Lokoja, Kogi State, Nigeria has already killed 21 and left countless homes destroyed. Have you heard of it at all?",African Lokoja Nigeria,US Lok ##oja Ko Nigeria,Lokoja Kogi Nigeria US,Hello African media Not Florence Hurricane in the US Worst floods in decades in Lokoja Kogi State Nigeria has already killed 21 and left countless homes destroyed Have you heard of it at all,1.0
1160,"During a #hurricane evacuation, keeping track of your prescription medications may be the last thing on your mind. Here are some tips to help find access to prescription drugs during a natural disaster:  #Florence",Florence,, ,,1.0
1161,"WTVD-TV Donations needed for animals displaced by Hurricane Florence WTVD-TV  Triangle residents steadily arrived at the Holshouser Building located at the N.C. State Fairgrounds to donate items for pets. Those items included large crates, paper towe",Holshouser Building Hurricane Florence N.C.,N C,N.C.,WTVD-TV Donations needed for animals displaced by Hurricane Florence WTVD-TV Triangle residents steadily arrived at the Holshouser Building located at the N.C. State Fairgrounds to donate items for pets Those items included large crates paper towe,0.8
1162,"Good morning on this Monday. More rain, more flooding, more headaches. Well be back on the air at 4AM for more live team coverage of The Storm That Wont Leave. Much to tell you from overnight. #ABC11 #Florence.",Florence,, ,,1.0
1163,"RT WeatherNation: Unfortunately, these conditions will likely get worse, even as the rain starts to move away on Monday. #Florence  #vawx",Florence,, ,,1.0
1164,River Flooding to Continue for Days in the North Carolina From Florence From The Weather Channel iPhone App,Florence North Carolina,North Carolina,North Carolina,River Flooding to Continue for Days in the North Carolina From Florence From The Weather Channel iPhone App,0.3333333333333333
1165,"#CommissionedCorps officers working at a medical shelter in High Point, North Carolina. The joint work between the state of North Carolina, NC Health & Human Services, Wake Forest Baptist Hospital, & @HHSGov were able to help residents before #HurricaneFlorence arrived. #BeSafe",NC North Carolina,High Point North Carolina North Carolina NC,High Point NC North Carolina,CommissionedCorps officers working at a medical shelter in High Point North Carolina The joint work between the state of North Carolina NC Health & Human Services Wake Forest Baptist Hospital & were able to help residents before HurricaneFlorence arrived BeSafe,0.6666666666666666
1166,"RT @PorterMediaNews: Video: Major flooding in Wilmington, North Carolina as a result of Hurricane Florence",North Carolina Wilmington,Wilmington North Carolina,Carolina Wilmington North,RT Video Major flooding in Wilmington North Carolina as a result of Hurricane Florence,0.6666666666666666
1167,"Almost half of all flash #flood fatalities occur in vehicles. A mere 2 feet of water is all it takes to move a car, truck or SUV. Water can also erode the road bed, creating unsafe driving conditions. TURN AROUND, DON’T DROWN! #floodsafety #Florence #scwx",Florence,, ,,1.0
1168,The National FOP Disaster Relief Fund is in need of donations to assist the members of the North Carolina and South Carolina State Lodges who have and will experience home damage and displacement due to Hurricane Florence. #fopstrong,North Carolina South Carolina,North Carolina South Carolina,North Carolina,The National FOP Disaster Relief Fund is in need of donations to assist the members of the North Carolina and South Carolina State Lodges who have and will experience home damage and displacement due to Hurricane Florence fopstrong,0.5
1169,RT @AlyssaHymanMMJ: This is I40 W in Wilmington. Engineers are on their way out to assess. Stay off the roads folks @Pattern #Florence http,Florence Wilmington,Wilmington,Wilmington,RT This is I40 W in Wilmington Engineers are on their way out to assess Stay off the roads folks Florence http,0.5
1170,Latest on #Florence: -17 people dead -major” flood stage expected -33+ inches of rain in some spots -Wilmington virtually cut off LIVE updates on @wsbtv and here: .,-Wilmington,Wilmington,Wilmington,Latest on Florence  17 people dead  major” flood stage expected  33+ inches of rain in some spots  Wilmington virtually cut off LIVE updates on and here ,1.0
1171,"NEWS AROUND THE STATE for Monday Sept. 17: WILMINGTON, N.C. (AP) — The death toll from Hurricane Florence and its remnants has risen to 17 as officials say a 3-month-old died in North Carolina when a tree",N.C. North Carolina WILMINGTON,W ##IL ##MI ##NG ##TO ##N N . C . North Carolina,North Carolina WILMINGTON N.C.,NEWS AROUND THE STATE for Monday Sept 17 WILMINGTON N.C. AP — The death toll from Hurricane Florence and its remnants has risen to 17 as officials say a 3 month old died in North Carolina when a tree,0.5
1172,"970 WFLA News: Florence, downgraded from a hurricane after making landfall last week, has made a slow march over the Carolinas bringing heavy rains and catastrophic flooding. Eleven deaths were reported in North Carolina and six in South Carolina.",Carolinas North Carolina South Carolina,Carolina ##s North Carolina South Carolina,Carolinas catastrophic,970 WFLA News Florence downgraded from a hurricane after making landfall last week has made a slow march over the Carolinas bringing heavy rains and catastrophic flooding Eleven deaths were reported in North Carolina and six in South Carolina,0.8
1173,"Humans are doing everything they can to help those affected by Hurricane #Florence. Tonight is the hardest night so far in the Carolinas. Volunteers are bringing rescue, support and hope.἟A἟8 In addition, I am sure your #prayers are appreciated by those affected. Thank you.",Carolinas,Carolina ##s,Volunteers,Humans are doing everything they can to help those affected by Hurricane Florence Tonight is the hardest night so far in the Carolinas Volunteers are bringing rescue support and hope἟A἟8 In addition I am sure your prayers are appreciated by those affected Thank you,1.0
1174,"Six dogs are rescued from severe Florence flooding in Leland, NC",Leland NC,Le ##land,Leland,Six dogs are rescued from severe Florence flooding in Leland NC,0.5
1175,"realDonaldTrump: #SCGuard Soldiers w/4-118 Combined Arms Battalion conducted high water rescue & evacuation in Chesterfield County S.C., Sept 16, 2018. Heavy rain caused a local dam to break & flooding ensued throughout. (Photos courtesy 1st Sgt. Gallman) #SCGuard #Florence",Chesterfield County,Chesterfield County C,Chesterfield,realDonaldTrump SCGuard Soldiers w 4 118 Combined Arms Battalion conducted high water rescue & evacuation in Chesterfield County S.C. Sept 16 2018 Heavy rain caused a local dam to break & flooding ensued throughout Photos courtesy 1st Sgt Gallman SCGuard Florence,0.5
1176,.@RedCrossSC is at @wis10 studios hosting a disaster relief phone bank for those impacted by #Florence. Red Cross is currently serving 20K people in shelters in NC & SC. If you can help please call (803) 758-1020. Thank you!!,Florence NC SC,NC SC,NC SC,is at studios hosting a disaster relief phone bank for those impacted by Florence Red Cross is currently serving 20K people in shelters in NC & SC If you can help please call 803 758 1020 Thank you,0.3333333333333333
1177,.@FOXNashville We’re told a group of 5 volunteers from Middle Tennessee will be heading to North Carolina this morning. They join people from other states also volunteering for this disaster response group. @hopeforce #Florence,Florence North Carolina Tennessee,Tennessee North Carolina,North Carolina Tennessee,We told a group of 5 volunteers from Middle Tennessee will be heading to North Carolina this morning They join people from other states also volunteering for this disaster response group Florence,0.25
1178,"Three days after #Florence made landfall, the storm is still battering the Carolinas. More than 30 American Red Cross volunteers from Connecticut are stationed in the south to help with",Connecticut,Carolina ##s Connecticut,Connecticut volunteers,Three days after Florence made landfall the storm is still battering the Carolinas More than 30 American Red Cross volunteers from Connecticut are stationed in the south to help with,1.0
1179,I’m taking you to Southeastern North Carolina with a live report at 6:00 . We’re seeing far worse conditions than anything Matthew brought that way. Some places still recovering from that mess and now dealing with unprecedented #Florence flooding this morning @wsbtv,Florence North Carolina,North Carolina,North Carolina,I taking you to Southeastern North Carolina with a live report at 600  We seeing far worse conditions than anything Matthew brought that way Some places still recovering from that mess and now dealing with unprecedented Florence flooding this morning,0.3333333333333333
1180,Hurricane Florence: Pastor Matthew Drake rides jet ski to the rescue in flooded Jacksonville,Jacksonville,, ,,1.0
1181,"#Florence coverage continues. We are in WALL TO WALL #weather coverage on @SpecNewsRDU as #flooding continues in Wilmington, Lumberton and now Fayetteville with concerns of river flooding. nWayne County has a #TORNADO #WARNING right now, w/ radar showing one on the ground. #ncwx",Fayetteville Lumberton Wilmington,Wilmington Lu ##mber ##ton Faye ##tte ##ville,Fayetteville Wilmington Lumberton,Florence coverage continues We are in WALL TO WALL weather coverage on as flooding continues in Wilmington Lumberton and now Fayetteville with concerns of river flooding nWayne County has a TORNADO WARNING right now w  radar showing one on the ground ncwx,0.6666666666666666
1182,Heres an example of the types of damage were seeing to roads across the eastern portion of NC. This can happen at any moment. So please heed the warnings and stay off the roads. #FlorenceNC,NC,NC,FlorenceNC,Heres an example of the types of damage were seeing to roads across the eastern portion of NC This can happen at any moment So please heed the warnings and stay off the roads FlorenceNC,1.0
1183,"Death toll rises to at least 11, officials say, as some areas grapple with intense flooding due to Carolinas storm. #MondayThoughts #Monday #HurricanceFlorence #HurricaneFlorerence #Hurricane #Florence #FlorenceNC #FlorenceSC #FlorenceHurricane2018 #Weather #USA #US #NC #SC",Florence NC SC US USA,Carolina ##s USA US NC,FlorenceNC MondayThoughts,Death toll rises to at least 11 officials say as some areas grapple with intense flooding due to Carolinas storm MondayThoughts Monday HurricanceFlorence HurricaneFlorerence Hurricane Florence FlorenceNC FlorenceSC FlorenceHurricane2018 Weather USA US NC SC,1.0
1184,Donations for animals displaced by Hurricane Florence are being accepted at the North Carolina State Fair Grounds located at 1025 Blue Ridge Boulevard in  a Facebook,1025 Blue Ridge Boulevard North Carolina,North Carolina 102 ##5 Blue Ridge Boulevard,1025 Blue North Carolina Ridge Boulevard,Donations for animals displaced by Hurricane Florence are being accepted at the North Carolina State Fair Grounds located at 1025 Blue Ridge Boulevard in a Facebook,0.6666666666666666
1185,"The death toll from #Florence is at least 17, as the Carolinas deal with the threat of flooding getting even worse.",Carolinas Florence,Carolina ##s,Carolinas,The death toll from Florence is at least 17 as the Carolinas deal with the threat of flooding getting even worse,0.5
1186,"PRESS CONFERENCE Tomorrow, 9:30 a.m. City Hall, 300 Pollock St – an update on #Florence response & recovery. Mayor Dana Outlaw, Alderman Sabrina Bengel, City Manager Mark Stephens & city staff present info on where to get relief supplies, how to donate & partnerships to rebuild.","City Hall, 300 Pollock St",", 300 Poll ##ock St",300 Pollock Stephens,PRESS CONFERENCE Tomorrow 930 a.m. City Hall 300 Pollock St – an update on Florence response & recovery Mayor Dana Outlaw Alderman Sabrina Bengel City Manager Mark Stephens & city staff present info on where to get relief supplies how to donate & partnerships to rebuild,0.6
1187,Hot meal delivery to Sampson County Emergency Operations Center today! The amazing staff there also took our sandwiches and salads out to EMTs and first responders! #Florence #ChefsForCarolinas,Sampson County,Sampson County ##aro,ChefsForCarolinas Sampson County,Hot meal delivery to Sampson County Emergency Operations Center today The amazing staff there also took our sandwiches and salads out to EMTs and first responders Florence ChefsForCarolinas,0.5
1188,"Historic flooding across the Carolinas, death toll rises to 17 and Florence is still moving across the Eastern US dumping rain. #HurricaneFlorence #BreakingNews #BREAKING #Weather #hurricane",Carolinas Florence US,Carolina ##s US,Carolinas US,Historic flooding across the Carolinas death toll rises to 17 and Florence is still moving across the Eastern US dumping rain HurricaneFlorence BreakingNews BREAKING Weather hurricane,0.3333333333333333
1189,"At 7:07 AM EDT, ELM City [Wilson Co, NC] 911 CALL CENTER reports TORNADO. TREES AND POWERLINES DOWN WITH SOME BUILDINGS DAMAGED IN ELM CITY.",ELM CITY ELM City,E ##LM City NC E ##LM C ##IT ##Y,CENTER CITY City EDT ELM WITH,At 707 AM EDT ELM City Wilson Co NC 911 CALL CENTER reports TORNADO TREES AND POWERLINES DOWN WITH SOME BUILDINGS DAMAGED IN ELM CITY,1.0
1190,"Tornado Warning including Crewe VA, Burkeville VA, Nottoway Court House VA until 10:30 AM EDT",Burkeville Crewe VA Nottoway Court House VA,Crewe VA Burke ##ville VA Court House VA,Burkeville Court Crewe VA,Tornado Warning including Crewe VA Burkeville VA Nottoway Court House VA until 1030 AM EDT,0.5714285714285714
1191,Florence flooding: Drone footage shows hurricane damage in Wilmington area,Florence Wilmington,Wilmington,Wilmington,Florence flooding Drone footage shows hurricane damage in Wilmington area,0.5
1192,"At 10:38 AM EDT, 3 ENE Rogers Corner [Mecklenburg Co, VA] 911 CALL CENTER reports TORNADO. DAMAGE TO A RESIDENCE AND NUMEROUS TREES DOWN. LAW ENFORCEMENT REPORTED SEEING A TORNADO.",Mecklenburg Co VA,Mecklenburg VA,Mecklenburg VA,At 1038 AM EDT 3 ENE Rogers Corner Mecklenburg Co VA 911 CALL CENTER reports TORNADO DAMAGE TO A RESIDENCE AND NUMEROUS TREES DOWN LAW ENFORCEMENT REPORTED SEEING A TORNADO,0.3333333333333333
1193,"At 11:24 AM EDT, Etlan [Madison Co, VA] DEPT OF HIGHWAYS reports FLOOD. MULTIPLE ROADS FLOODED AND CLOSED IN THE ETLAN AREA.",ETLAN Etlan,E ##tl ##an Madison VA ET ##LA ##N,ETLAN Etlan Madison VA,At 1124 AM EDT Etlan Madison Co VA DEPT OF HIGHWAYS reports FLOOD MULTIPLE ROADS FLOODED AND CLOSED IN THE ETLAN AREA,1.0
1194,"At 1:11 PM EDT, Churchville [Augusta Co, VA] DEPT OF HIGHWAYS reports FLOOD. NUMEROUS ROADS REPORTED CLOSED IN THE CHURCHVILLE AREA, AS WELL AS MORE THROUGHOUT AUGUSTA COUNTY.",AUGUSTA COUNTY Augusta Co CHURCHVILLE Churchville VA,Church ##ville Augusta VA CH ##UR ##CH ##VI ##LL ##E AU ##G ##US ##TA CO,AUGUSTA COUNTY CHURCHVILLE Churchville Augusta HIGHWAYS NUMEROUS VA,At 111 PM EDT Churchville Augusta Co VA DEPT OF HIGHWAYS reports FLOOD NUMEROUS ROADS REPORTED CLOSED IN THE CHURCHVILLE AREA AS WELL AS MORE THROUGHOUT AUGUSTA COUNTY,0.7142857142857143
1195,"Flash Flood Warning continues for South Boston VA, Yanceyville NC, Halifax VA until 5:00 PM EDT",Boston Halifax NC VA Yanceyville,South Boston VA Yan ##cey ##ville NC Halifax VA,NC South Boston VA Yanceyville,Flash Flood Warning continues for South Boston VA Yanceyville NC Halifax VA until 500 PM EDT,0.6
1196,"FLOOD WATCH REMAINS IN EFFECT THROUGH TUESDAY MORNING The Flood Watch continues for * Portions of western Maryland, Pennsylvania, and northern West Virginia, including the following areas, in western Maryland, Garrett. In Pennsylvania, Fayette,",Fayette Maryland Pennsylvania West Virginia,Maryland Pennsylvania West Virginia Maryland Pennsylvania Faye,Fayette Maryland Pennsylvania West,FLOOD WATCH REMAINS IN EFFECT THROUGH TUESDAY MORNING The Flood Watch continues for * Portions of western Maryland Pennsylvania and northern West Virginia including the following areas in western Maryland Garrett In Pennsylvania Fayette,0.2
1197,"We’re responding! Distribution of relief supplies continues Tuesday & Wednesday. #hurricane #florence #fayettevillenc #firstchurch #fcfnc #relief @ Cumberland, North Carolina",Cumberland North Carolina fayettevillenc,f ##ay ##ette ##ville Cumberland North,Cumberland North fayettevillenc relief,We responding Distribution of relief supplies continues Tuesday & Wednesday hurricane florence fayettevillenc firstchurch fcfnc relief Cumberland North Carolina,0.5
1198,"RT @iskandrah: More than 4,300 homes damaged or destroyed by #HurricaneFlorence in New Bern, North Carolina",New Bern North Carolina,New Bern North,New Bern North,RT More than 4300 homes damaged or destroyed by HurricaneFlorence in New Bern North Carolina,0.25
1199,"My heart breaks at the devastation caused by #HurricaneFlorence. Bridge of Hope is on the ground, with trucks full of essential emergency relief. Thank you for responding compassionately to help reach the lives of those who are in the Carolinas and the US southeast.",Carolinas US,Carolina ##s US,US compassionately,My heart breaks at the devastation caused by HurricaneFlorence Bridge of Hope is on the ground with trucks full of essential emergency relief Thank you for responding compassionately to help reach the lives of those who are in the Carolinas and the US southeast,1.0
1200,RT @marcusdipaola: Flooding in downtown Wilmington NC as things start to ramp up again as Hurricane Florences eye blows past.,Wilmington,Wilmington NC,Wilmington NC,RT Flooding in downtown Wilmington NC as things start to ramp up again as Hurricane Florences eye blows past,1.0
1201,"At 2:25 AM EDT, White OAK [Montgomery Co, MD] BROADCAST MEDIA reports FLOOD. ALL LANES OF MD-650 NEW HAMPSHIRE AVENUE BLOCKED BY HIGH WATER AT US-29 COLESVILLE ROAD.",MD-650 NEW HAMPSHIRE AVENUE Montgomery Co US-29 COLESVILLE ROAD,Montgomery MD,MD-650 Montgomery,At 225 AM EDT White OAK Montgomery Co MD BROADCAST MEDIA reports FLOOD ALL LANES OF MD-650 NEW HAMPSHIRE AVENUE BLOCKED BY HIGH WATER AT US-29 COLESVILLE ROAD,0.7777777777777778
1202,"Click here to support Hurricane Florence Relief Jax,NC organized by Lia Leigh",Florence NC,NC,JaxNC,Click here to support Hurricane Florence Relief JaxNC organized by Lia Leigh,1.0
1203,Hurricane Florence Damage Update,Florence,, ,,1.0
1204,Flooding in the Cheraw area is of great concern post #Florence. Water by the Great Pee Dee River is expected to double in feet by tomorrow. Both @PaulRiveraNews and I talked to those evacuating the area today.,Cheraw Great Pee Dee River,Ch ##era ##w Great P ##ee Dee,Cheraw Dee Great Pee,Flooding in the Cheraw area is of great concern post Florence Water by the Great Pee Dee River is expected to double in feet by tomorrow Both and I talked to those evacuating the area today,0.6
1205,"This is a dire situationMore than 570,000 people still don’t have power.” @craigmelvin reports from Wilmington, North Carolina, on the damage and destruction from #HurricaneFlorence",North Carolina Wilmington,Wilmington North Carolina,Carolina Wilmington North,This is a dire situationMore than 570000 people still don have power” reports from Wilmington North Carolina on the damage and destruction from HurricaneFlorence,0.6666666666666666
1206,This is my sister. A decorated US Marine. Florence did significant damage to her home. Help if you can. #Florence #HurricaneFlorence #HurricanceFlorence,Florence,, ,,1.0
1207,#Florence + #TyphoonMangkhut: We have team members on the ground. Weve deployed to #NorthCarolina to assess damage & determine greatest needs. Were also mobilizing in the #Philippines to evaluate the current situation & make critical decisions about potential for a response.,Florence NorthCarolina Philippines,North ##C ##aro ##lina Philippines,NorthCarolina Philippines,Florence + TyphoonMangkhut We have team members on the ground Weve deployed to NorthCarolina to assess damage & determine greatest needs Were also mobilizing in the Philippines to evaluate the current situation & make critical decisions about potential for a response,0.3333333333333333
1208,"#USCG shallow-water teams, partner agencies rescue families impacted by #HurricaneFlorence flooding in the Mayfair neighborhood of Lumberton, N.C. @USCG",Lumberton,Lu ##mber ##ton N C,Lumberton USCG,USCG shallow water teams partner agencies rescue families impacted by HurricaneFlorence flooding in the Mayfair neighborhood of Lumberton N.C.,1.0
1209,"KOMO News stands strong with our friends and colleagues in the Carolinas as they recover from #Florence. Join us as we support our relief effort by donating to the @SalvationArmyUS. Donate here, or text Florence to 91999",Carolinas Florence,Carolina ##s,colleagues,KOMO News stands strong with our friends and colleagues in the Carolinas as they recover from Florence Join us as we support our relief effort by donating to the Donate here or text Florence to 91999,1.0
1210,"Hurricane Florence is now responsible for at least 32 deaths, including one from a possible tornado that hit Virginia. The storm is shaping up to be one of the costliest to ever hit the US. @LauraPodestaTV has more from New York. TUE0010",Hurricane Florence New York US Virginia,Virginia US New York,New York US Virginia,Hurricane Florence is now responsible for at least 32 deaths including one from a possible tornado that hit Virginia The storm is shaping up to be one of the costliest to ever hit the US has more from New York TUE0010,0.3333333333333333
1211,"Sharing some images from our #ConvoyOfCare mission. These are #Florence donations from Monday. Join us again @wsbtv today-10a.m.-6 p.m. Let’s help our family, friends and neighbors in the Carolinas:",Carolinas,Carolina ##s,donations,Sharing some images from our ConvoyOfCare mission These are Florence donations from Monday Join us again today 10a.m. 6 p.m. Let help our family friends and neighbors in the Carolinas,1.0
1212,"Members of the North Carolina National Guard drive through flooded roads while en route to Lumberton, NC to assist affected areas that have been impacted by Hurricane Florence, Calypso, NC, September 15, 2018.",North Carolina,North Carolina Lu ##mber ##ton NC Cal ##y ##ps ##o NC,Calypso Lumberton NC North Carolina,Members of the North Carolina National Guard drive through flooded roads while en route to Lumberton NC to assist affected areas that have been impacted by Hurricane Florence Calypso NC September 15 2018,1.5
1213,Hurricane Florence: Disaster Relief & Donations | American Red Cross,Florence,, ,,1.0
1214,"Today, over 7,500 National Guard members from various supporting states are activated and are responding to or preparing to respond to Hurricane Florence rescue and support efforts.  #HurricaneFlorence",Florence,, ,,1.0
1215,"Stay safe and shelter away from windows on the lowest floor that’s not subject to flooding. If you get trapped in a flooded building, go to the highest floor but do NOT enter a closed attic. Ὢ8Call 911 If you need rescue.Ὢ8 #Florence",Florence,, ,,1.0
1216,Florence death toll rises to 32 as rivers continue to flood in NC and SC  #avlnews #wncnews #Florence #FlorenceNC #HurricaneFlorence #Wilmington #Fayetteville #FayettevilleNC,Fayetteville NC SC Wilmington,NC SC Wilmington Faye ##tte ##ville,FayettevilleNC NC SC Wilmington Fayetteville,Florence death toll rises to 32 as rivers continue to flood in NC and SC avlnews wncnews Florence FlorenceNC HurricaneFlorence Wilmington Fayetteville FayettevilleNC,0.5
1217,"⚡️#Moments: #Tennessee #TruckDriver rescued 64 #shelter #animals on #SchoolBus during #HurricaneFlorence Last week #TonyAlsup #rescued 53 #dogs 11 #cats from #SouthCarolina #shelters expected to be affected by #Hurricane #Florence, drove then to #Alabama",Alabama SouthCarolina Tennessee,Tennessee South ##C ##aro ##lina,SouthCarolina Tennessee,⚡️Moments Tennessee TruckDriver rescued 64 shelter animals on SchoolBus during HurricaneFlorence Last week TonyAlsup rescued 53 dogs 11 cats from SouthCarolina shelters expected to be affected by Hurricane Florence drove then to Alabama,0.3333333333333333
1218,The Bristol-Myers Squibb Foundation is supporting #disasterrelief efforts by @Americares and @RedCross following #HurricaneFlorence  @BMSnews,Myers Squibb,Bristol - Myers S ##qui ##bb Foundation,Bristol Myers Squibb Foundation,The Bristol Myers Squibb Foundation is supporting disasterrelief efforts by and following HurricaneFlorence,1.0
1219,First load of supplies is on its way. Thanks to all who donated. Well keep collecting supplies & sending them as we can. DO YOU WANT TO HELP? Were joining the Carolina Calvary to help the @CityofNewBern.  #crankarmy #newbern #hurricaneflorence #ncbeer,@CityofNewBern Carolina,Carolina,Carolina,First load of supplies is on its way Thanks to all who donated Well keep collecting supplies & sending them as we can DO YOU WANT TO HELP Were joining the Carolina Calvary to help the crankarmy newbern hurricaneflorence ncbeer,0.5
1220,⁦@WISN12News⁩ has teamed up with ⁦@RedCross⁩ to help communities impacted by #Florence. Volunteers are standing by to take your donations. Call 414-799-9476.,Florence,, ,,1.0
1221,"Our local @mnredcross Emergency Response Vehicle at the front of the line this morning in Fayetteville, NC loading up to resupply the 45 Red Cross shelters in that area. Right now, 8 Northland volunteers on the ground, 1 en route and 2 deploying tomorrow. #HurricaneFlorence",Fayetteville Northland,Faye ##tte ##ville NC North ##land,Fayetteville NC Northland,Our local Emergency Response Vehicle at the front of the line this morning in Fayetteville NC loading up to resupply the 45 Red Cross shelters in that area Right now 8 Northland volunteers on the ground 1 en route and 2 deploying tomorrow HurricaneFlorence,0.5
1222,Volunteers from the American Red Cross will be in our studios until 7PM to take your calls and donations to help families affected by Hurricane Florence. Call (614) 469-10TV (1088) You can also text REDCROSS” to 90999 or visit  #10TV,American,, ,,1.0
1223,RT @919_store: Donate if you can . . @abc11_wtvd #hurricaneflorence #donate #helpthebeaches #nc #northcarolina,nc northcarolina,n ##c north ##car ##olin,Donate hurricaneflorence northcarolina,RT Donate if you can   hurricaneflorence donate helpthebeaches nc northcarolina,1.0
1224,Rivers Keep Rising and More Deaths Are Feared as #Florence Pushes Away,Florence,, ,,1.0
1225,"As rescue crews continue to help people in the aftermath of Hurricane Florence, theyre also heroes to the many pets that have been saved from the high flood waters.",Florence,, ,,1.0
1226,Want to help victims of #Florence? Join @ABC11Together today to do so. #ABC11 #HurricaneFlorence #FlorenceHurricane2018,Florence,, ,,1.0
1227,⚡️#Moments: #HurricaneFlorence death toll at least 32 Severe #flooding #NorthCarolina #SouthCarolina #Storm passed but effects of #Hurricane #Florence still ravaging #Carolinas as catastrophic #flooding impacts several areas #TropicalStormFlorence #wx,Florence NorthCarolina SouthCarolina,North ##C ##aro ##lina South ##C ##aro ##lina Carolina ##s,NorthCarolina catastrophic,⚡️Moments HurricaneFlorence death toll at least 32 Severe flooding NorthCarolina SouthCarolina Storm passed but effects of Hurricane Florence still ravaging Carolinas as catastrophic flooding impacts several areas TropicalStormFlorence wx,0.6666666666666666
1228,"RETWEET! Right now, PETA’s Rescue Team is in #NorthCarolina with a boat to help evacuate people & animals in flooded areas. If you have info on those who need help, please let us know. #HurricaneFlorence Areas we can reach: #Lumberton, #StPauls, #Pembroke, #Fayetteville.",Fayetteville Lumberton NorthCarolina Pembroke,North ##C ##aro ##lina Lu ##mber ##ton St ##P ##aul ##s Pembroke Faye ##tte ##ville,Lumberton StPauls NorthCarolina Pembroke Fayetteville animals,RETWEET Right now PETA Rescue Team is in NorthCarolina with a boat to help evacuate people & animals in flooded areas If you have info on those who need help please let us know HurricaneFlorence Areas we can reach Lumberton StPauls Pembroke Fayetteville,1.0
1229,"Sampson County officials say there 36 calls for water rescues from Saturday at 6:15 a.m. through Monday. A water rescue was ongoing just after midnight on Tuesday morning. More than a fourth of the county was without power, and 69 roads or bridges had been washed out. #Florence",Sampson,Sampson County,Sampson County,Sampson County officials say there 36 calls for water rescues from Saturday at 615 a.m. through Monday A water rescue was ongoing just after midnight on Tuesday morning More than a fourth of the county was without power and 69 roads or bridges had been washed out Florence,1.0
1230,"Death toll from powerful Hurricane Florence, in North Carolina rises to 23. #TuesdayThoughts #Tuesday #HurricanceFlorence #HurricaneFlorerence #Hurricane #Florence #FlorenceNC #FlorenceHurricane2018 #Florence2018 #Weather #LGBT #USA #US #NC",NC North Carolina US USA,North Carolina USA US NC,FlorenceNC North Carolina,Death toll from powerful Hurricane Florence in North Carolina rises to 23 TuesdayThoughts Tuesday HurricanceFlorence HurricaneFlorerence Hurricane Florence FlorenceNC FlorenceHurricane2018 Florence2018 Weather LGBT USA US NC,0.6
1231,"In Winnabow, North Carolina some residents are cutoff and say they need help getting food and supplies. This is less than 15 miles south of Wilmington. That’s Highway 17 underwater in the background. #Florence @ABC @ABC11_WTVD @wpdeabc15",Florence North Carolina Wilmington Winnabow,Win ##na ##bow North Carolina Wilmington,Carolina Wilmington Winnabow North,In Winnabow North Carolina some residents are cutoff and say they need help getting food and supplies This is less than 15 miles south of Wilmington That Highway 17 underwater in the background Florence,0.6
1232,"Attention Parents: The K12PaymentCenter server is located in Wilmington, NC and has been affected by hurricane Florence. It is currently offline, so parents may be unable to make online payments and view todays transactions.",NC Wilmington,Wilmington NC,Wilmington NC,Attention Parents The K12PaymentCenter server is located in Wilmington NC and has been affected by hurricane Florence It is currently offline so parents may be unable to make online payments and view todays transactions,1.0
1233,"Here’s the latest on Hurricane #Florence, including a ride with rescuers who saved a man trapped in a flooded house in Trenton, N.C.",Florence N.C. Trenton,Trenton N C,Trenton N.C.,Here the latest on Hurricane Florence including a ride with rescuers who saved a man trapped in a flooded house in Trenton N.C.,0.6666666666666666
1234,"Threats from #Florence flooding remain throughout this week. Projected times for river levels to peak at moderate/major flood levels: 9/17 PM: Lumber River - Lumberton, NE Cape Fear near Chinquapin; 9/18 AM: Neuse River - Kinston; 9/20 AM: Northeast Cape Fear - Burgaw #ReadyNC",Lumber River Lumberton,Lu ##mber ##ton Chin ##qua ##pin N Ki ##nst ##on Fear B ##urg ##aw,Burgaw Chinquapin Fear Kinston Lumber Lumberton Neuse,Threats from Florence flooding remain throughout this week Projected times for river levels to peak at moderate major flood levels 9 17 PM Lumber River   Lumberton NE Cape Fear near Chinquapin 9 18 AM Neuse River   Kinston 9 20 AM Northeast Cape Fear   Burgaw ReadyNC,2.0
1235,"With flooding continuing, state officials in #NorthCarolina are urging #Florence evacuees to hold off returning for now",Florence NorthCarolina,North ##C ##aro ##lina,NorthCarolina,With flooding continuing state officials in NorthCarolina are urging Florence evacuees to hold off returning for now,0.5
1236,Stop by @PetSmart in #Gaithersburg #MD and meet over 100 Lucky Dog (including #HurricaneFlorence evacuees today from 12-2PM! #IAmLuckyDog #rescue #adopt #donate #saveanimals #rescuedog #cute #puppy #sundayafternoon #sundayfunday,Gaithersburg,G ##ait ##hers ##burg MD,Gaithersburg MD,Stop by in Gaithersburg MD and meet over 100 Lucky Dog including HurricaneFlorence evacuees today from 12-2PM IAmLuckyDog rescue adopt donate saveanimals rescuedog cute puppy sundayafternoon sundayfunday,1.0
