words,labels
SexWorkers from Maharashtra donate 21 000 for KeralaFloods ὡF They have contributed nearly Rs 27 lakh for various causes like 2001Guj Quake 2004Tsunami Kashmir Bihar floods drought relief in Maha ChennaiFloods families of Kargil war heroesὤFἿC,O O U-CITY O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O
KeralaFloods 7 000 houses fully damaged and 50 000 houses partially damaged says CM vijayanpinarayi,O O O O O O O O O O O O O O O
On 1 hand the handling of KeralaFloods by PinarayiVijayan led govt has been exemplary OTOH ModiGovt response to request for aid by Kerala offers of aid to kerala have been horrible Measly GoI offer Terrible handling of UAE offer with bjp IT cell modia adding to the mess,O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O U-STATE O O O O O O O O O O O O O O O O O O O O
RaghupathiBhat Meenu_71 HarishK04131926 BJP4Udupi mattarhegde UdayKumarBJP YashpalBJP DheerajGbc GogoiRanju ajaykumar2697 Harvansh_Batra VictoryForNamo AmitShahKiSena imShefalii iSanjuktaP prayag BillionIndian LillyMaryPinto narendramodi sukanyaiyer2 shitijsrivastav Babble524 draksbond DrSarojiniMLC NazlinShaikh PathanAsmakhan kapil9994 pooja303singh AmitShah bakoriya_kirti_ narendrap85 YadavAnkes sbhandari16 DebashishHiTs BengaluruBullet meenakshisharan shakthigj shefalitiwari7 truevirathindu Dubey1Vij rajasve sanghavideepa BetiBachaoBetiP MinistryWCD dr_maheshsharma moefcc drharshvardhan nitin_gadkari raosahebdanve NH66 Near Pangala b w Udupi Mangaluru flood water has began to flow over the HighWay MLA lalajibjp ji visited just now Rescue Teams hav arrived Water level is raising minute by minute Same situation near Padubidri too Be careful while driving Rain floods,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-CITY O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-CITY O O O O O O O
KeralaFloodRescue KeralaFloods KeralaFloodRelief Christian Missionaries have same rescue plans for Kerala In Nepal after earthquake in 2015 they got bibles not food or medicine,O O O O O O O O O O U-STATE O U-COUNTRY O O O O O O O O O O O
Modi Govt has released 600 crore IN ADVANCE to Kerala pending assessment This is IN ADDITION to 562 45 crore already made available in SDRF of Kerala This is for those who are creating North South Divide questioning Central Govt on Assistance Any answer KeralaFloods,O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O
tim_cook Id greatly and forever appreciate if you could donate for the people of Kerala Dont need much but even little is more if you can help us KeralaFloods,O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O
Kerala flood Updates Vijay Pinarayi confirms Karl Marx to donate 800 crores from hell i e 200 crores extra than the center KeralaReliefRowTwist,U-STATE O O O O O O O O O O O O O O O O O O O O O O
Distribution of flood relief material by 27th Battalion ITBP personnel to people at Poopparathi and Ezhikkath Colonies in Chengannur Kerala today 450 families Approx 4000 people received relief material Himveers KeralaFloodRelief,O O O O O O O O O O O O O O O U-NEIGHBORHOOD O O U-CITY U-STATE O O O O O O O O O O O
Kudumbasree needs 26750 buckets mugs mops and brushes each for the relief activities in Pathanamthitta Alappuzha Kottayam Ernakulam Thrissur and Wayanad districts KeralaFloodRelief,O O O O O O O O O O O O O O U-CITY U-CITY U-CITY U-CITY U-CITY O U-DISTRICT O O
They are not gathered to get any flood relief or to fetch some aid They are not gathered to protest against the government They are RSS Swayamsevaks going in large numbers from Pala to Aranmula in Kerala to clean the houses,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-CITY O U-CITY O U-STATE O O O O
Unimoni employees are continuing to make a difference by collecting essential supplies at the company guest house and distributing the inventory A network has been created to dispatch these provisions to relief camps KeralaFloods KeralaFloodRescue,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Axis Bank extends its support towards the KeralaFloodRelief program by committing Rs 5 crores rajivanand Executive Director Axis Bank handed a pay order of Rs 2 crore to CMOKeralas Distress Relief Fund with Rs 3 crores to be further deployed through our partner NGOs,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
KeralaFloods 1 Immediate Rescue 2 Emergency Relief 3 Compensation Rehabilitation In tasks 1 2 local collectives religious social orgs fishermen and new political parties played key role Govt machinery main political parties failed Let them not fail in task 3 too,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
MillionsInspiredByStRamRahim there is a good fortune for you to keep your arms at the same time in kerala for the help of flood victims the dera sacha sauda was the service of the green s wellfair force wing of sirsa Shah Satnam ji,O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O
There has been unprecedented devastation in Kerala due to floods I have donated 1 month s salary to PM s National Relief Fund I appeal to all employees of HRDMinistry Univ College teachers employees to donate atleast a days salary for relief rehab work KeralaFloods,O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Myth of kerala floods ὄ9Shahrukh khan donated 5 crore ὄ9UAE donated 700 crore ὄ9BJP states didnt donated Facts of Kerala flood ὄ9Ambani donated ὄ9Temples donated ὄ9North Indians donated ὄ9RSS helped ὄ9Army helped KeralaFloods,O O U-STATE O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O
Lulu Group Says Its Offer To Donate Rs 700 Crore For Kerala Flood Relief Is Fake news Threatens Legal Action ὠ0 via swarajyamag,O O O O O O O O O O O U-STATE O O O O O O O O O O O
RT CISFHQrs A truck load of relief materials contributed by CISF trainees staff NISA Hyderabad send for KeralaFloodRelief,O O O O O O O O O O O O O O U-STATE O O O
AmaraRaja extends support to the KeralaFlood victims by sending rehabilitation kits worth Rs 20L Each kit includes towels bedsheet ladies under garments lungi steel plate tumbler and a carry bag,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
If you praised outsiders for just saying they would donate for KeralaFloodRelief and use it to blame Modi who supposedly blocked something which was never promised but didnt utter one thanks to nearly 1 00 000 RSS swayamsevaks cleaning Kerala for days you are a Communist,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O
Fart of living SriSri sent relief materials to Kerala in 500T capacity trucks specially designed for us by PypProducts Amazing KeralaFloods,O O O O O O O O U-STATE O O O O O O O O O O O O
The buildings are largely empty now their occupants either consumed by the rising tide or evacuated to safety Keralafloods,O O O O O O O O O O O O O O O O O O O
This Onam is dedicated to thousands of souls who lost their life people who are displaced due to unprecedented flood disaster in Gods own country Kerala Wishing all strength will to re settle themselves,O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O
LeoDiCaprio SOS KeralaFloods Thousands of families lost homes staying in relief camps around 400 people killed due to massive flood and landslides in State Of Kerala of India Entire Infrastructure of state destroyed Your small help would provide us a great relief,O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O U-COUNTRY O O O O O O O O O O O O O O
Kerala to become God s own country once again We need your help in this Please donate as much as you can even a small amount can helpὤF MyKartavya,U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Onam wishes to all request you to generously contribute to kerala flood relief,O O O O O O O O O O U-STATE O O
A family including small kids trapped in the below address plz help them water level is increasing Plz call 8714145245 8943245726 9249971758 Kerala keralafloods KeralaFloodRelief cmokerala shashitharoor SaveKerala KeralaRains KeralaFloods2018,O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O
WATCH There are several isolated parts in Pathanamthitta where rescue and relief operations are yet to reach radhika1705 reports from ground zero SOSKerala KeralaFloods,O O O O O O O U-CITY O O O O O O O O O O O O O O O O
The most number of injuries suffered by rescue workers were caused by the shards of glass nails and iron grills on the walls of homes KeralaFloods KeralaFloodRelief,O O O O O O O O O O O O O O O O O O O O O O O O O O O
Reality Behind some so called ppl saying uae hasnt decided to donate 700 crores for kerala relief fund All keralites should watch this RTsss KeralaFloodRelief KeralaFloods,O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O
Under the guardianship of Bishop ThomasElavanal of KalyanDiocese the materials r aligned 4 the proceedings of the final dispatch of Flood Relief Boxes 2 Kerala indianbishops Karunya2Kerala KalyanEparchy DigitalKalyan CatholicFocus KeralaFloods KeralaRelief,O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O
KeralaFloods 60 trucks were sent to the state carrying a total of 500 tons of relief material from ArtofLiving centres across India,O O O O O O O O O O O O O O O O O O O O O U-COUNTRY
RSSinAction Hundreds of RSSorg and SevaBharati activists are joining for the cleaning and sanitation activities at Aranmula one of the village which was badly affected by KeralaFloods KeralaFloodRelief,O O O O O O O O O O O O O O O O U-CITY O O O O O O O O O O O
Thanks StarbucksIndia for Joining Kerala and Kodagu Flood Relief Starbucks Contributing Rs 5 for each cup of coffee they sell in India KeralaFloodsRelief keralafloods RebuildingKerala starbucks smallsteps,O O O O U-STATE O U-DISTRICT O O O O O O O O O O O O O O U-COUNTRY O O O O O
KeralaFloods How much did Sonia Gandhi the richest woman in the world donate How much did the looters of INCIndia donate who raised hue cry over fake news of flood relief by UAE,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Shocking and Saddening MadhishParikh Be_Elixir youth team mobilized medicines sanitary napkins other items weighing around 200 tons and deployed volunteer for its distribution in Keralafloods from Ahmedabad They got a rude shock after seeing mismanagement in Kerala,O O O O O O O O O O O O O O O O O O O O O O O O O O U-CITY O O O O O O O O O U-STATE
Among the major crops paddy and banana were the worst hit with 26 106 and 6 348 ha of crop damaged in the Keralafloods,O O O O O O O O O O O O O O O O O O O O O O O O
Lots of incredible stories out there of selfless response adding one more This one is of Seva Bharti volunteers going out there with large tyres to keep afloat and help people Not trained for this but doing what they can KeralaFloods,O O O O O O O O O O O O O O O O U-HUMAN-MADE U-HUMAN-MADE O O O O O O O O O O O O O O O O O O O O O O O
History repeats yet another sanghi propaganda moonjals busted The central gov comes clear with UAE offered financial aid to Kerala KeralaFloods UAE In other news sky is blue,O O O O O O O O O O O O O O U-COUNTRY O O O O U-STATE O U-COUNTRY O O O O O O
Christian group from Tamil Nadu operating in flood affected Chengannur Kerala They are bringing in reinforcements from other states to outnumber Sewa Bharathi KeralaFloods KeralaReliefRowTwist,O O O U-STATE U-STATE O O O O U-CITY U-STATE O O O O O O O O O O O O O O
The people of Kerala come together to ensure the rescue relief to the millions of people impacted after the KeralaFloods Meanwhile global capitalism threatens another finance crisis everyday people feel the impact of neoliberal reforms For more,O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RT tempestjune Please rebuild kerala donate to Plan India Visit,O O O O U-STATE O O O U-COUNTRY O
My First SOS Call was to Evacuate a Pregnant Woman Read the first person account of a relief chopper pilot as narrated to GoyalMalini in ETMagazine tomorrow KeralaFloods KeralaFloodRelief ReadOnSunday ETonSunday,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
OdishaFireServices personnel boarding special aircraft to fulfil their mission to assist in rescue operations in keralafloods,O O O O O O O O O O O O O O O O
Its my friend Ajays ajay_asn marriage tomorrow They have requested the invitees to avoid gifts instead donate to Kerala Flood Relief He has linked their marriage website to CMDRF Kudos KeralaFloods,O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O
So contribute your valuable money to popular front flood relief Fund kerala and Karnatakaὄ7ὄ7ὄ7ὄ7 KeralaFloods KeralaFloodRelief Kerala KeralaFlood KeralaDonationChallenge KeralaFloods2018,O O O O O O O O O O O U-STATE O O O O U-STATE O O O
On this RakshaBandhan one of my sister sent Rakhi from Vizag then I wont give Any gift to Her But is Donating to Kerala KeralaFloods All Brothers Please do same thing Donate for KeralaFloodRelief KTRTRS PawanKalyan RaoKavitha trsharish actor_nithiin urstrulyMahesh,O O O O O O O O U-CITY O U-CITY O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Here s just a glimpse of the massive work going on in Kerala Over the past three days 1 2 lakh Kudumbashree volunteers cleaned over 62 000 houses 1 804 roads and public buildings across the state Indulekha_A,O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O
The hilly district of Idukki has been thrown back by 40 years following Kerala s worst flooding in a century Power Minister M M Mani KeralaFloods KeralaRains KeralaDisaster,O O O O U-DISTRICT O O O O O O O O U-STATE O O O O O O O O O O O O O O
KeralaFloods Congress President Rahul Gandhi to arrive in Thiruvananthapuram on 28th August to visit flood hit regions in the state including Chengannur Alappuzha and Angamaly Rahul Gandhi will visit flood affected areas in Wayanad district on 29th August File pic,O O O O O O O O O O O O O O O O O O O O O U-CITY U-CITY O U-CITY O O O O O O O O U-DISTRICT O O O O O O
BIGNEWS Congress President RahulGandhi to arrive in Thiruvananthapuram Kerala on August 28 to visit flood hit regions in the state including Chengannur Alappuzha and Angamaly He is slated to visit flood affected areas in Wayanad on August 29 KeralaFloods,O O O O O O O O U-STATE O O O O O O O O O O O O U-CITY U-CITY O U-CITY O O O O O O O O O U-CITY O O O O
IndiaForKerala Everyone in the country should come forward to support Kerala flood victims Odisha Chief Minister Naveen Patnaiks appeal on NDTVs telethon To donate call 011 41577789 An NDTV special initiative in partnership with TataSky,O O O O O O O O O O U-STATE O O U-STATE O O O O O O O O O O O O O O O O O O O O O
While Kerala victims suffer and Pinarayi Vijayan wants Saudi money for KeralaFloods relief he gave NCP leader s family Rs 25 lakh without prior or formal application PratibaRaman reports in MyNation,O U-STATE O O O U-STATE U-STATE O O O O O O O O O O O O O O O O O O O O O O O O
Relations have no boundaries It s RakshaBandhan Doctors from Maharashtra are stationed in Kerala away from their homes for medical help A lady from local health camp tied the auspicious Rakhi to these brothers who came to rescue at the time of crisis KeralaFloodRelief,O O O O O O O O O U-STATE O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
sardesairajdeep suhelseth ShivAroor Swamy39 davidfrawleyved vikramchandra BDUTT Nidhi Hindus offering in Temple is distributed by Govt to church n Mosque Here temple donate cores to Kerala flood victim irrespective of religion What abt church are they Secular Conning,O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O
Folks in Palakkad Tomorrow a team going to relief camp in Muthalamada Please bring resources to Kollangode Panchayat office or contact below numbers Vishnu 9446974932 Akshay 91 94954 37600 dhanyarajendran KeralaFloodRelief,O O U-CITY O O O O O O O O U-CITY O O O O U-CITY O O O O O O O O O O O O O O
Expert agree It is increasingly becoming clear that the massive causalities during flood disaster in Kerala was not due to rains but due to the opening of the dams without adequate warning followed by evacuation KeralaFloods2018 KeralaFloods KeralaReliefRowTwist,O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O
RT nsui Nsui Helping Wheels to distribute the relief materials in flood affected areas across Kerala,O O O O O O O O O O O O O O O U-STATE
KeralaFloods Relief Donatation Donors Non Donors PM RF JNU Gang Indian States Left Intellectuals Corporates Lutyen Cabal Temples Placard Actresses Gurudwara UAE Individuals School Kids RSS HMO PSUs,O O O O O O O O O O U-COUNTRY O O O O O O O O O O O O O O O O O
RT thenewsminute Singareni coal workers donate Rs 9 cr to help flood hit Kerala,O O U-CITY O O O O O O O O O O U-STATE
Kerala pradesh mahila congress doing its duty towards contributing for relief work during the devastating floods KeralaFloodRelief,U-STATE O O O O O O O O O O O O O O O O
Lets do bit for kerala We should donate 1 day salary for kerala flood Gods own country kerala Plz circulate a donation advertisement for kerala flood from d departmental employees CoalIndiaHQ mahanadicoal joinhands keralaflood,O O O O U-STATE O O O O O O O U-STATE O O O O U-STATE O O O O O O U-STATE O O O O O O O O O
Gurudev SriSri with your blessings we have been able to arrange 548 gunny bags 6 tonnes containing food grains and hygiene materials across Mulund and Bhandup Mumbai KeralaFlood gratitude for giving this sewa opportunity AOLMum ArtofLiving BangaloreAshram,O O O O O O O O O O O O O O O O O O O O O O O U-CITY O U-CITY U-CITY O O O O O O O O O O
KeralaFloods As waters have receded in Kerala revealing the extent of the damage caused by floods and landslides RDT will send an expert team to the state shortly to meet local authorities and assess where we can contribute to the rehabilitation works,O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Talked to my cousin who was volunteering at a relief camp for keralafloods and in her own words the food was v good just like home food or perhaps even better when she came back home So happy to hear that the tweets I ve been seeing are ALL TRUE ProudToBeMalayali,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
CBN Foundation is grateful to the team of doctor s from Philadelphia Hospital that is working tirelessly to provide medicines and treatment to the people of Kerala donate at to strengthen the feeling effort KeralaFloods KeralaFloodRelief humanitarian,O O O O O O O O O O O U-CITY O O O O O O O O O O O O O O U-STATE O O O O O O O O O O
Following floods 20 Kerala families forced to live in a cemetery keralafloods,O O O U-STATE O O O O O O O O
KeralaFloods can these companies offer free service 1 motor vehicle companies 2 3 wheelers cars trucks jeeps 2 Consumer goods fridge mixer Will help lot of families to get back to normalcy KeralaFloods,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
We are with you Kerala Read on to find out how drones are aiding in providing emergency response in times of need KeralaFloodRelief KeralaFloods UAVtotherescue emergencyresponse via geoworldmedia,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Commies thanked UAE for aid that was never offered but silent over aids received from fellow Indians Millions no matter rich or poor from all parts of country many corporates n armed forces have contributed over 2000cr to CM fund but no thanks KeralaFloods KeralaFloodRelief,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
KeralaFloods RebuildKerala keralarelief Planning to return home after the floods Assess the damage before entering Check for cracks If they are larger than a match box stick it is a cause of concern moneycontrolcom,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Share Malayalam Infographics for Flood Survivors Read this before you enter your house after floods AfterFlood KeralaFloods KeralaFloodRelief keralarains KeralaSOS,O O O O O O O O O O O O O O O O O O O O
Impact of KeralaFloods on spices ManojG7 Crops damaged,O O O O O O O O
Nayara Energy organised free health camps at a number of our petrol pumps in Kerala Together they are doing their bit to nurse the state of Kerala back to well being StrongerTogether NewEraBegins KeralaRelief KeralaFloods,O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O U-STATE O O O O O O O O
After the rain water has receded our volunteers continued to visit families in remote locations to hand over Family Support Kits and Meal packets KeralaFloods,O O O O O O O O O O O O O O O O O O O O O O O O O
Home Minister rajnathsingh to visit the flood affected areas of Kerala today 14 NDRF teams deployed seven rescued 398 others and 12 livestock evacuated KeralaFloods KeralaFloodRelief,O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O
HimachalPradesh 116 Animals Cattle Herder Killed After Getting Trapped Under Boulders Due to Landslide in Kullu,O O O O O O O O O O O O O O O U-CITY
Ancestral home photo taken today after family evacuated Clean up will include chasing out snakes that will be the least of it Kerala India floods,O O O O O O O O O O O O O O O O O O O O O O U-STATE U-COUNTRY O
The lady is showing the water level The family moved to the roof and stayed for one day before being evacuated Lot of wastage of household items KeralaFloodRelief,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Kerala Minister for Public Works G Sudhakaran is involved in cleaning works after floods KeralaFloods,U-STATE O O O O O O O O O O O O O O
Malappuram VOLUNTEERS NEEDED Resources RebuildKerala KeralaFloodRelief DoForKerala StandWithKerala Pl RT tag as needed Parul_RajeevM drishtadyumnan SaginaWalyat revathikrishnak ChetaKadaChaaya silverlightgal DonTheRambler,U-CITY O O O O O O O O O O O O O O O O O O O
Areal view of Alappuzha during KeralaFloods 2018 Thanks to all the helping hands who are involved with the flood relief restoration work,O O O U-CITY O O O O O O O O O O O O O O O O O O
Thanks to my Hyderabad and Bengaluru friends 1200 kg of boiled Kerala rice cloths including childrens cute new dresses ordered by a noble soul via Flipkart and cleaning items on the way to KeralaFloodRelief camp now They were delivered to storage location on Saturday,O O O U-CITY O U-CITY O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Acres of forestland were washed away in the down slope Movement of earth and debris and flash floods in various parts of south and north divisions of Nilambur forest,O O O O O O O O O O O O O O O O O O O O O O O O O O O U-CITY O
This is why I think it s immature when people get pissy if a celeb doesn t do something on social media Sometimes you help people privately without making a big proclamation especially if you are a huge star,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
KeralaFloods Our volunteers are ALWAYS on the move to reach those in need In floods affected areas of Kerala our volunteers are using boats to reach those who have been isolated They are delivering food and other essentials Great Seva by the Khalsa Aid India team,O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O U-COUNTRY O
IncomeTaxIndia Why everyone selectively ignoring KodaguFloods the devastation is more in kodagu also as landscape itself transformed due to landslide around 1800 homes vanished completely without any clue of their presence We 2 mourn for KeralaFloods but dont ignore Kodagu narendramodi,O O O O O O O O O O O U-DISTRICT O O O O O O O O O O O O O O O O O O O O O O O O O O O U-DISTRICT O
Met Resident commissioner of Kerala at Kerala house today Had a discussion on Kerala floods aftermath and how we could contribute a bit from our side for the betterment of people displaced in floods KeralaFloods,O O O O U-STATE O U-STATE O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O
MAM volunteers distributing food items to the KeralaFloods victims in Vadakara,O O O O O O O O O O U-CITY
In flood ravaged Kerala Kudumbashree women are working overtime to clean up premises 1 13 lakh houses cleaned by them so far They have also donated 5 crore from their weekly thrift for relief RebuildKerala KeralaFloods,O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
When everyone is Kerala the people the Kerala Govt the defense forces fishermen are pooling together for Flood Relief Rescue the RSS BJP stand out in trying to claim credit by spreading Fake News Watch this AltNews video to see their contribution to KeralaFloodRelief,O O O U-STATE O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Donations from Tollywood ἱFStars KeralaFloodRelief Nagarjuna Amala 28 Lks Chiranjeevi 25 Lks NTR 25 Lks RamCharan 25 Lks Prabhas 25 LKS MaheshBabu 25 Lks AlluArjun 25Lks KalyanRam 10 L VarunTej 10 L Ram 5 L VijayDeverakonda 5 L KeralaReliefFund,O O O O O U-CITY U-CITY O O U-CITY O O O O O O O O O O O U-CITY O O O O U-CITY O O U-CITY O O O O O O O O O
The discrimination against Kerala flood victims by Narendra Modi led BJP government and the vitriol against those working hard to provide relief materials to Kerala,O O O U-STATE O O O O O O O O O O O O O O O O O O O O U-STATE
Our State AIPC President Mr Mohan Kumaramangalam takes care of medical expense for the poor rural girl who generously donated her healthcare savings to Kerala flood relief,O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O
Centre to review relief measures undertaken by banks insurers in flood hit Kerala tomorrow to review relief measures undertaken by banks insurers in flood hit kerala tomorrow 9,O O O O O O O O O O O O U-CITY O O O O O O O O O O O O U-CITY O O
RT fe28725a51c04eb JANASENANIBirthdayCDP Dont spend money on cakes Banners instead donate to poor people kerala flood affected people,O O O O O O O O O O O O O O U-STATE O O O
District Jind Health Department Haryana donates Rs 203300 lakh to Chief Minister s Distress Relief Fund for Kerala flood victims Bank Deposit by Dr Ramesh Panchal Nodal Officer Dentist in Jind Haryana,O U-DISTRICT O O U-STATE O O O O O O O O O O O O U-STATE O O O O O O O O O O O O U-DISTRICT U-STATE
RT bijugovind KeralaFloodRelief Aid convoy with LTTE leader Prabhakaran pictures arrive in Kerala,O O O O O O O O O O O O U-STATE
Some relief for flood hit Kerala as IT Dept extends deadline for filing income tax return to Sept 15 KeralaFloods,O O O O O U-STATE O O O O O O O O O O O O O O
Update KeralaFloodRelief CSR team from Cipla_Global CiplaFoundation visited HelpAges medical relief camp today in Omalloor Panchayat south of Pathanamthitta district reeling under severe devastation caused by KeralaFloods We thank Cipla CSR for their continued support,O O O O O O O O O O O O O O U-CITY U-CITY O O U-DISTRICT O O O O O O O O O O O O O O O O
The fundraiser T20 cricket match for Kerala flood victims will take place on 1 September on school grounds Alumni and parents please email us at s adams british school org for details Let s get together to helpkerala keralafloods T20,O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RT barandbench SCBA contributes Rs 51 lakh towards Kerala Flood relief fund,O O O O O O O O U-STATE O O O
Thanks to jetairways for shipping St Marys Orthodox Syrian Church consignment of medicines weighing 473Kg from Pune to IMA Trivandrum free of cost for KeralaFloods KeralaFloodRelief RebuildingKerala CMOKerala ShashiTharoor,O O O O O U-HUMAN-MADE U-HUMAN-MADE U-HUMAN-MADE U-HUMAN-MADE U-HUMAN-MADE O O O O O O O O O O O O O O O O O O O
CBSE to help flood hit Kerala Schools and Students via CBSE to help flood hit Kerala Schools and Students Digital certificates mark sheets to be given to students of CBSE affiliated schools As a special,O O O O O U-STATE O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O
Those beautiful houses were beneath flood water Damages are paramount Water has receded since last week But the horror is still fresh in people s memories keralafloods,O O O O O O O O O O O O O O O O O O O O O O O O O O O
Indias largest private sector bank HDFC Bank has announced that it will adopt 30 worst hit villages in Kerala As part of its long term relief and rehabilitation efforts theindianexpres NASSCOMfdn MyKartavya KeralaFloodRelief Please join hand with,O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O
Whats happening on kerala donation for rehabilitation of flood victims central government has forgotten after giving 600 crores doubt whether amount released this is not how country is run can some channel highlight this or aid only goes to BJP states or ads and travel,O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RT Kuvalayamala KeralaFloodRelief Work by volunteers of ArtofLiving,O O O O O O O O
Congress President Rahul Gandhi visited flood affected areas and relief camps in Kerala Interacted with the people to understand their needs RebuildingKerala,O O O O O O O O O O O O U-STATE O O O O O O O O O
Today Dynamic MLA AslamShaikh_MLA Dispatched Relief Materials to INCMumbai for the Flood Effected Peoples in Kerala State Which will be send to Kerala from the Mumbai Congress Office,O O O O O O O O O O O O O O O U-STATE O O O O O O U-STATE O O U-CITY O O
These heroes of Kerala Off Road clubs are working tirelessly to rescue people and deliver relief material to remote parts of the flood hit state We salute their spirit KeralaFloods HeroesOfKerala,O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O
shenoy70 dineshayan1 So that they can proselytize multitudes in the name of serving humanity They get huge support large funds from their masters abroad to carry out their vile agenda Even during recent flood relief work in Kerala they distributed bible to traumatic victims They work on the sly,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O
GTU NewVideo helpkerala Guys Kerala needs your help We have made this video on Kerala flood in which we have pointed out some ways you can follow and donate some money to the people of Kerala,O O O O U-STATE O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O U-STATE
His wife Ranjana has now made a makeshift kitchen and cooks food for neighbouring families also who have lost their kitchen Her house also needs renovation KeralaFloods KeralaFloodRelief,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
168 govt hospitals either destroyed or damaged due to flood waters says Kerala Health Minister shailajateacher KeralaHealth Arogyakeralam PMOIndia KeralaFloods NewIndianXpress,O O O O O O O O O O O O U-STATE O O O O O O O O
For Const repair of houses affected by Keralafloods Rs 200 Cr allocated from the Refinance Scheme of NhbIndia under AffordableHousingFund to facilitate HousingLoan at concessional interest rate PMOIndia FinMinIndia PIB_India ddmalayalam airnewsalerts NDRFHQ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RT Zigwheels Major Indian bikemakers to offer free service camps across flood affected parts of Kerala More here,O O O O O O O O O O O O O O O U-STATE O O
Today Afia Sahanaras Birthday This little girl donated all the money 2111 received on her birthday for the flood victims of Kerala,O O O O O O O O O O O O O O O O O O O O O U-STATE
On Uthradam the eve of Onam swachta items were distributed to KeralaFloods ReliefCamps at Paravur Chengannur as part of SwachtaPakhwada WeAreWithYou for Rebuilding a Swachha Sundara Keralam,O O O O O O O O O O O O O O U-CITY U-CITY O O O O O O O O U-CITY U-CITY U-STATE
